Hispanic_ACS_10_14,NH_White_alone_ACS_10_14,NH_Blk_alone_ACS_10_14,NH_AIAN_alone_ACS_10_14,NH_Asian_alone_ACS_10_14,NH_NHOPI_alone_ACS_10_14,NH_SOR_alone_ACS_10_14
1920,1392,369,0,225,0,0
2902,1404,735,142,471,0,0
2241,632,112,36,854,0,0
2809,1139,265,5,240,0,0
1707,1705,234,41,606,5,1
3124,1522,538,14,351,0,0
2379,1911,399,0,941,0,0
2658,1411,616,0,1077,0,0
1791,1406,25,61,289,0,0
2003,923,1132,16,505,0,10
1277,2284,325,0,175,0,0
1266,2106,209,0,192,0,0
828,1858,84,12,390,0,0
652,1325,435,0,260,0,0
1239,1777,244,0,471,176,0
1493,1473,116,0,162,41,19
736,3313,25,0,634,0,0
361,1691,41,0,353,0,0
1508,3297,139,9,1156,0,14
1377,2834,232,0,769,0,0
928,3234,196,0,1146,0,9
1549,2573,147,0,832,4,0
785,3550,47,12,366,43,24
1098,2860,86,0,712,6,9
668,1736,40,29,300,0,13
673,2663,8,0,477,0,0
100,1188,0,0,259,0,24
1388,3209,66,0,466,0,0
1433,5269,116,0,929,0,0
619,2105,222,56,214,0,0
498,1653,20,31,496,14,0
630,2764,257,0,682,0,0
943,2881,43,67,457,0,0
122,944,4,19,92,0,0
1402,3228,0,90,131,0,115
308,749,140,4,172,0,0
1126,2118,197,22,490,106,33
1192,2082,155,72,100,109,0
856,1923,40,0,30,0,0
1272,1919,31,11,226,0,0
948,3593,46,19,224,0,0
1193,3217,202,41,346,0,26
2596,2624,45,57,414,0,29
1691,2727,154,6,521,0,0
808,2400,180,71,477,3,0
2326,3031,181,0,752,0,0
980,1844,155,0,832,65,15
1204,2164,33,19,767,0,0
993,5047,14,12,621,0,85
693,1406,32,33,113,0,0
815,1796,96,0,494,37,0
1332,2856,267,0,1494,0,0
567,2231,21,4,840,9,0
604,2228,0,0,253,56,0
6658,2190,89,86,171,0,12
6536,1235,160,0,26,0,0
